Metric,Point_Estimate,Fold_Std,Bootstrap_Mean,Bootstrap_Std,CI_Lower_95%,CI_Upper_95%,CI_Margin
Recall,0.6339017037787759,0.4353919670815003,0.6332401255358968,0.19295009900241872,0.26817768860558444,0.9921918764327599,0.3620070939135877
Precision,0.6749049580895413,0.3096208001044055,0.6748088156473074,0.13277596639477832,0.4109834883107544,0.9472955280150617,0.26815601985215365
Accuracy,0.7487189946515926,0.2258717918310534,0.7538674809548588,0.10328005136816447,0.559034860818159,0.9384031284850263,0.18968413383343363
F1_Score,0.5583009924833493,0.37539429597405977,0.5601352197568717,0.1636311199918757,0.2759763175321144,0.8927238630331227,0.30837377275050415
Sensitivity,0.6339017037787759,0.4353919670815003,0.6363806751769735,0.19603977970698006,0.2671033048891681,0.9921918764327599,0.36254428577179587
Specificity,0.7977517958244003,0.33058564136990826,0.7927547001605023,0.14695926230367243,0.48448782617805985,0.9963154758928695,0.2559138248574048
Balanced_Accuracy,0.7158267498015882,0.2267427684446425,0.7170034017136506,0.10050630066945929,0.524098951451869,0.9043088626573654,0.1901049556027482
PPV_(Positive_Predictive_Value),0.6749049580895413,0.3096208001044055,0.6778442747119102,0.1354665328991482,0.4107377535372165,0.9472955280150617,0.26827888723892257
NPV_(Negative_Predictive_Value),0.8764770080452206,0.1414188887286764,0.8749295935498547,0.06691143205579418,0.757210797387989,0.9935257662382802,0.11815748442514556
FPR_(False_Positive_Rate),0.2022482041755997,0.33058564136990826,0.2083392101215164,0.15002456818462523,0.0036845241071305603,0.5414320209543353,0.26887374842360234
FNR_(False_Negative_Rate),0.36609829622122403,0.4353919670815003,0.36543129561181864,0.1944841388871044,0.00780812356724016,0.7328966951108319,0.36254428577179587
Matthews_Correlation_Coefficient,0.468388161634936,0.43044909960775735,0.46224083673325267,0.19430469313641108,0.10457409624536655,0.8322022270245055,0.3638140653895695
Cohen_Kappa,0.4268406823638188,0.45909525817338126,0.4144382257107943,0.20634110246200843,0.0457415273611059,0.8079093759344049,0.3810839242866495
TP_(True_Positives),13145.8,9760.918448588738,13205.4746,4263.281935644749,4812.0,21521.0,8354.5
FP_(False_Positives),11156.6,17994.399979993774,11257.49,7947.323006042979,158.6,29656.8,14749.1
FN_(False_Negatives),9055.0,10749.479987422648,9243.0792,4879.245145803535,221.14000000000004,17914.6,8846.73
TN_(True_Negatives),45627.6,27985.310579659465,45843.842,12573.658954662164,20506.8,69696.6,24594.9
